gender,is_28+,employment_status,watching
M,0,student,yes
M,1,working,yes
F,0,working,yes
F,0,student,no
M,1,working,yes
M,1,working,yes
F,0,working,yes
M,0,student,no
F,1,working,no
M,0,working,no
M,1,working,no
M,1,working,no
M,1,working,no
F,1,working,yes
F,0,student,yes
M,1,working,yes
F,0,working,yes
M,0,working,yes
F,1,working,no
M,0,working,yes
M,1,working,no
F,0,working,yes
M,1,working,no
F,0,working,no
F,1,working,no
F,0,working,yes
M,0,working,yes
F,0,working,yes
F,1,working,yes
M,1,working,no
F,0,student,yes
M,0,student,no
F,0,student,yes
M,1,working,no
M,0,working,yes
F,0,working,yes
M,0,working,yes
M,0,working,yes
F,1,working,yes
M,0,student,no
M,0,working,no
M,0,working,no
F,1,working,no
F,1,working,yes
M,0,working,no
M,1,working,no
M,1,working,no
F,0,student,no
M,1,working,yes
F,0,working,no
