"","x"
"1",3.526591
"2",3.180891
"3",3.252221
"4",3.611003
"5",3.565869
"6",4.306371
"7",5.088335
"8",2.81452
"9",2.985811
"10",3.20478
"11",3.127578
"12",3.270523
"13",3.73785082
"14",3.55877609
"15",3.77720173
"16",3.92449042
"17",4.38653092
"18",5.81054917
"19",6.19206769
"20",3.45085699
"21",3.77230686
"22",3.7343029
"23",3.90539892
"24",4.04968714
"25",4.31556552
"26",4.56218455
"27",4.60866203
"28",4.66785129
"29",5.09384145
"30",7.1799622
"31",6.73147308
"32",3.84127758
"33",4.39407557
"34",4.07534073
"35",4.5406449
"36",4.64561508
"37",4.75260653
"38",5.35060467
"39",5.20445484
"40",5.3016513
"41",5.77374216
"42",6.20459348
"43",6.74948382
"44",4.21606735
"45",4.94934946
"46",4.8230449
"47",5.19475419
"48",5.17078711
"49",5.25674157
"50",5.85527729
"51",5.49072901
"52",6.11529323
"53",6.08847284
"54",7.41659792
"55",8.32945212
"56",5.06979585
"57",5.26255667
"58",5.59712628
"59",6.110296
"60",5.68916084
"61",6.48684933
"62",6.30056933
"63",6.46747574
"64",6.82862939
"65",6.64907826
"66",8.60693721
"67",8.52447101
"68",5.27791837
"69",5.71430345
"70",6.21452908
"71",6.41192919
"72",6.66771564
"73",7.05083102
"74",6.70491861
"75",7.25098761
"76",7.81973318
"77",7.39810106
"78",10.09623339
"79",8.79851303
"80",5.91826076
"81",6.53449298
"82",6.67573561
"83",7.06420058
"84",7.38338118
"85",7.81349587
"86",7.43189221
"87",8.27511722
"88",8.26044138
"89",8.59615575
"90",10.55893902
"91",10.3914156
"92",6.42153456
"93",8.06261937
"94",7.2977391
"95",7.93691594
"96",8.16532298
"97",8.71742046
"98",9.07096378
"99",9.17711337
"100",9.25188674
"101",9.93313643
"102",11.53297428
"103",12.51146235
"104",7.45719853
"105",8.59119084
"106",8.47400037
"107",9.3868026
"108",9.56039945
"109",10.8342948
"110",10.64375083
"111",9.90816186
"112",11.7100413
"113",11.34015074
"114",12.07913184
"115",14.49758109
"116",8.04927477
"117",10.31289116
"118",9.75335821
"119",10.85038183
"120",9.96171916
"121",11.44360144
"122",11.65923889
"123",10.64705979
"124",12.65213444
"125",13.67446631
"126",12.96573509
"127",16.30026927
"128",9.05348536
"129",10.00244879
"130",10.78875007
"131",12.10670515
"132",10.95410107
"133",12.84456587
"134",12.19649985
"135",12.85474787
"136",13.54200436
"137",13.28764
"138",15.13491784
"139",16.82834968
"140",9.80021461
"141",10.81699371
"142",10.65422256
"143",12.51232269
"144",12.16120969
"145",12.9980462
"146",12.51727568
"147",13.26865761
"148",14.73362169
"149",13.66938174
"150",16.50396561
"151",18.00376795
"152",11.93802987
"153",12.9979001
"154",12.88264507
"155",13.94344681
"156",13.9894722
"157",15.33909742
"158",15.37076394
"159",16.142005
"160",16.685754
"161",17.636728
"162",18.869325
"163",20.778723
"164",12.154552
"165",13.402392
"166",14.459239
"167",14.795102
"168",15.705248
"169",15.82955
"170",17.554701
"171",18.100864
"172",17.496668
"173",19.347265
"174",20.031291
"175",23.486694
"176",12.536987
"177",15.467018
"178",14.233539
"179",17.783058
"180",16.291602
"181",16.980282
"182",18.612189
"183",16.623343
"184",21.430241
"185",23.575517
"186",23.334206
"187",28.038383
"188",16.763869
"189",19.792754
"190",16.427305
"191",21.000742
"192",20.681002
"193",21.83489
"194",23.93020353
"195",22.93035694
"196",23.26333992
"197",25.25003022
"198",25.80609
"199",29.665356
"200",21.654285
"201",18.264945
"202",23.107677
"203",22.91251
"204",19.43174
